date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:59	10286/10286	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:47:58%20GMT	https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr	C:/Users/krysz/Desktop/jaja/vapestore.store/card1b8f.html	(from )
23:47:59	29/29	---MCZ	404	error ('Not%20Found')	text/plain	date:Tue,%2026%20Aug%202025%2021:47:59%20GMT	https://vapestore.store/robots.txt		(from )
23:48:00	11968/11968	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Aug%202025%2021:47:59%20GMT	https://vapestore.store/assets/app/main.css	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/main.css	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:00	8742/8742	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Aug%202025%2021:47:59%20GMT	https://vapestore.store/assets/app/card.css	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/card.css	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:00	53721/53721	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:47:59%20GMT	https://vapestore.store/assets/app/images/logo.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/logo.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:00	2296/2296	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:00%20GMT	https://vapestore.store/assets/app/images/back_blue.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/back_blue.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:00	3658/3658	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:00%20GMT	https://vapestore.store/assets/app/images/help.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/help.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:01	1413469/1413469	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:00%20GMT	https://vapestore.store/assets/app/images/plate.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/plate.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:01	123616/123616	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:00%20GMT	https://vapestore.store/assets/app/images/flag.webp	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/flag.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:01	880077/880077	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2020:46:51%20GMT	https://vapestore.store/assets/app/images/eagle.gif	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/eagle.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:01	30277/30277	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:01%20GMT	https://vapestore.store/assets/app/images/valid.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/valid.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:02	3253/3253	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:01%20GMT	https://vapestore.store/assets/app/images/confirm.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/confirm.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:02	35435/35435	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:01%20GMT	https://vapestore.store/assets/app/images/id_data.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/id_data.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:02	4053/4053	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:01%20GMT	https://vapestore.store/assets/app/images/lock.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/lock.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:02	2161/2161	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:02%20GMT	https://vapestore.store/assets/app/images/more.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/more.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:02	1795/1795	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2021:48:02%20GMT	https://vapestore.store/assets/app/images/arrow_white.png	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/images/arrow_white.html	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:03	200/200	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2026%20Aug%202025%2021:48:02%20GMT	https://vapestore.store/assets/app/encode.js	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/encode.js	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:03	6349/6349	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2026%20Aug%202025%2021:48:02%20GMT	https://vapestore.store/assets/app/bar.js	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/bar.js	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
23:48:03	3348/3348	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2026%20Aug%202025%2021:48:03%20GMT	https://vapestore.store/assets/app/card.js	C:/Users/krysz/Desktop/jaja/vapestore.store/assets/app/card.js	(from https://vapestore.store/card?card_token=MXRNLTevvxkOpwoJDvdr)
